span_id,trace_id,parent_span_id,operation_name,start_timestamp,end_timestamp,duration_ms,status,service_name,user_id,tags
span_001,trace_001,,http_request,2024-11-01 10:00:00,2024-11-01 10:00:01,1500,ok,web_server,1,"method:GET,path:/api/users"
span_002,trace_001,span_001,database_query,2024-11-01 10:00:00.100,2024-11-01 10:00:00.800,700,ok,database,1,"table:users,query_type:SELECT"
span_003,trace_002,,http_request,2024-11-01 11:15:00,2024-11-01 11:15:02,2200,ok,web_server,2,"method:POST,path:/api/contact"
span_004,trace_002,span_003,email_service,2024-11-01 11:15:00.500,2024-11-01 11:15:01.800,1300,ok,email_service,2,"template:contact_form"
span_005,trace_003,,http_request,2024-11-01 12:30:00,2024-11-01 12:30:01,1800,ok,web_server,3,"method:GET,path:/api/dashboard"
span_006,trace_003,span_005,cache_lookup,2024-11-01 12:30:00.200,2024-11-01 12:30:00.400,200,ok,cache,3,"key:user_3_data"
span_007,trace_003,span_005,database_query,2024-11-01 12:30:00.450,2024-11-01 12:30:01.200,750,ok,database,3,"table:dashboards,query_type:SELECT"
span_008,trace_004,,http_request,2024-11-01 13:45:00,2024-11-01 13:45:01,1200,ok,web_server,4,"method:PUT,path:/api/profile"
span_009,trace_004,span_008,file_upload,2024-11-01 13:45:00.300,2024-11-01 13:45:00.900,600,ok,file_service,4,"file_type:avatar,size:2MB"
span_010,trace_005,,http_request,2024-11-01 14:20:00,2024-11-01 14:20:01,1600,ok,web_server,5,"method:GET,path:/api/features"
span_011,trace_005,span_010,external_api,2024-11-01 14:20:00.400,2024-11-01 14:20:01.100,700,ok,external_api,5,"api:feature_flags"
span_012,trace_006,,http_request,2024-11-02 09:00:00,2024-11-02 09:00:02,2100,ok,web_server,1,"method:GET,path:/api/features"
span_013,trace_006,span_012,database_query,2024-11-02 09:00:00.500,2024-11-02 09:00:01.200,700,ok,database,1,"table:features,query_type:SELECT"
span_014,trace_006,span_012,redis_cache,2024-11-02 09:00:01.300,2024-11-02 09:00:01.600,300,ok,cache,1,"operation:SET"
span_015,trace_007,,http_request,2024-11-02 10:30:00,2024-11-02 10:30:01,1900,ok,web_server,6,"method:POST,path:/api/trial"
span_016,trace_007,span_015,payment_service,2024-11-02 10:30:00.600,2024-11-02 10:30:01.400,800,ok,payment_service,6,"amount:0,trial:true"
span_017,trace_008,,http_request,2024-11-02 11:45:00,2024-11-02 11:45:01,1700,ok,web_server,7,"method:GET,path:/api/dashboard"
span_018,trace_008,span_017,database_query,2024-11-02 11:45:00.300,2024-11-02 11:45:01.000,700,ok,database,7,"table:user_metrics,query_type:SELECT"
span_019,trace_009,,http_request,2024-11-02 12:15:00,2024-11-02 12:15:01,1400,ok,web_server,8,"method:POST,path:/api/login"
span_020,trace_009,span_019,auth_service,2024-11-02 12:15:00.200,2024-11-02 12:15:00.800,600,ok,auth_service,8,"method:oauth"
span_021,trace_010,,http_request,2024-11-02 13:00:00,2024-11-02 13:00:01,1300,ok,web_server,9,"method:PUT,path:/api/password"
span_022,trace_010,span_021,password_hash,2024-11-02 13:00:00.300,2024-11-02 13:00:00.600,300,ok,auth_service,9,"algorithm:bcrypt"
span_023,trace_011,,http_request,2024-11-02 14:30:00,2024-11-02 14:30:02,2000,ok,web_server,10,"method:POST,path:/api/demo"
span_024,trace_011,span_023,email_service,2024-11-02 14:30:00.700,2024-11-02 14:30:01.500,800,ok,email_service,10,"template:demo_request"
span_025,trace_012,,http_request,2024-11-03 08:45:00,2024-11-03 08:45:01,1600,ok,web_server,2,"method:GET,path:/api/dashboard"
span_026,trace_012,span_025,database_query,2024-11-03 08:45:00.400,2024-11-03 08:45:01.000,600,ok,database,2,"table:export_data,query_type:SELECT"
span_027,trace_013,,http_request,2024-11-03 09:30:00,2024-11-03 09:30:01,1800,ok,web_server,3,"method:POST,path:/api/upgrade"
span_028,trace_013,span_027,payment_service,2024-11-03 09:30:00.500,2024-11-03 09:30:01.200,700,ok,payment_service,3,"amount:29.99,currency:USD"
span_029,trace_014,,http_request,2024-11-03 10:15:00,2024-11-03 10:15:01,1550,ok,web_server,4,"method:GET,path:/"
span_030,trace_014,span_029,static_assets,2024-11-03 10:15:00.200,2024-11-03 10:15:00.800,600,ok,cdn,4,"content_type:css"
